epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2689.04,0.3338,0.7568,1.12139,0.89326,0.89732,0.94587,0.83183,0.50431,0.55829,1.00086,0.00066175,0.00066175,0.00066175
43,3150.81,0.34308,0.76011,1.30192,0.90887,0.86196,0.93561,0.85099,0.47439,0.58235,0.99352,0.0006535,0.0006535,0.0006535
44,3610.52,0.3312,0.71345,1.13492,0.91127,0.88236,0.94519,0.86372,0.44,0.52936,0.95037,0.00064525,0.00064525,0.00064525
45,4068.88,0.33812,0.73664,1.15116,0.91134,0.89019,0.95055,0.8594,0.47945,0.52724,0.98149,0.000637,0.000637,0.000637
46,4527.5,0.33827,0.7791,1.13063,0.90482,0.88526,0.93355,0.84454,0.45088,0.57829,0.94567,0.00062875,0.00062875,0.00062875
47,4882.93,0.33963,0.76671,1.1472,0.94174,0.89161,0.94165,0.84704,0.46975,0.5242,0.93984,0.0006205,0.0006205,0.0006205
48,5185.96,0.32993,0.73613,1.14991,0.92626,0.88706,0.95006,0.87384,0.41968,0.52409,0.93695,0.00061225,0.00061225,0.00061225
49,5496.69,0.33842,0.76314,1.15188,0.88507,0.89516,0.94656,0.86517,0.44844,0.54529,0.94271,0.000604,0.000604,0.000604
50,5805.82,0.34651,0.70874,1.14553,0.9164,0.87828,0.94486,0.86467,0.4483,0.54772,0.95124,0.00059575,0.00059575,0.00059575
51,6115.94,0.30936,0.72358,1.10996,0.89198,0.91122,0.95149,0.88126,0.40559,0.46647,0.90904,0.0005875,0.0005875,0.0005875
52,6430.72,0.32313,0.72567,1.13872,0.87972,0.89113,0.94754,0.86391,0.45009,0.6028,0.95336,0.00057925,0.00057925,0.00057925
53,325.587,0.31299,0.71797,1.16308,0.93964,0.90379,0.94671,0.86966,0.45763,0.50883,0.94428,0.000571,0.000571,0.000571
54,634.375,0.34127,0.66231,1.24268,0.93538,0.8445,0.93806,0.85025,0.47011,0.58747,0.96766,0.00056275,0.00056275,0.00056275
55,945.774,0.31292,0.65218,1.24764,0.92194,0.8737,0.95007,0.83059,0.50708,0.59524,0.99969,0.0005545,0.0005545,0.0005545
